price,live_rooms,live_square,map_city,map_lat,map_lon,year,house_complex_name,flat_floor,house_floor_num,flat_building,flat_renovation,live_furniture,flat_toilet,mortgage,flat_priv_dorm
22500000,1,36,алматы,43.318251175219,76.914797067459,1984,2403.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
65000000,3,72,алматы,43.260016218538,76.916667980495,1978,418.0,3.0,8.0,2.0,1.0,2.0,2.0,0.0,2.0
36500000,2,45,алматы,43.247296,76.913198,1980,2505.0,3.0,5.0,2.0,2.0,1.0,2.0,0.0,2.0
42700000,3,70,алматы,43.224715615155,76.828635119049,1990,3281.0,4.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0
41500000,2,52,алматы,43.195711596924,76.920484361645,2023,2530.0,3.0,3.0,1.0,6.0,2.0,2.0,0.0,2.0
26500000,1,31,алматы,43.253714296288,76.878617594193,1980,3107.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
27000000,2,50,алматы,43.22798,76.798195,1990,312.0,4.0,5.0,2.0,1.0,1.0,2.0,0.0,2.0
82500000,3,100,алматы,43.233894267748,76.875101566839,2019,1206.0,4.0,6.0,3.0,1.0,1.0,2.0,0.0,2.0
59500000,4,115,алматы,43.339817,76.947531,1980,1552.0,5.0,6.0,2.0,1.0,1.0,3.0,0.0,2.0
39000000,3,64,алматы,43.23181,76.902077,1972,636.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0
35500000,1,36,алматы,43.216679032827,76.965694100525,1984,1601.0,5.0,5.0,1.0,2.0,2.0,2.0,0.0,2.0
34000000,3,57,алматы,43.219050298131,76.893042746033,1961,1106.0,3.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0
58000000,4,90,алматы,43.264768,76.951583,1973,3191.0,5.0,8.0,2.0,2.0,1.0,1.0,0.0,2.0
36500000,3,76,алматы,43.339188844568,76.901964350857,2018,3418.0,1.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0
31500000,2,52,алматы,43.303541,76.923079,1989,768.0,2.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0
26500000,1,44,алматы,43.213914774889,76.789336410704,2019,1064.0,8.0,9.0,3.0,2.0,1.0,2.0,1.0,2.0
77000000,3,72,алматы,43.262713,76.951942,1978,640.0,4.0,9.0,3.0,1.0,1.0,3.0,0.0,2.0
49500000,2,69,алматы,43.214272941997,76.889320759506,2022,1935.0,7.0,13.0,3.0,1.0,2.0,2.0,0.0,2.0
39900000,3,70,алматы,43.200148,76.843318,2000,1601.0,1.0,5.0,2.0,5.0,1.0,2.0,0.0,1.0
27500000,1,39,алматы,43.211374899261,76.793861972402,2022,2075.0,1.0,12.0,3.0,1.0,1.0,2.0,0.0,2.0
54500000,2,60,алматы,43.257106,76.924445,1995,1689.0,3.0,9.0,3.0,1.0,1.0,1.0,0.0,2.0
27000000,2,46,алматы,43.222969506663,76.861289894088,1964,1601.0,1.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0
41000000,1,40,алматы,43.230780783516,76.881771567431,2022,983.0,8.0,12.0,3.0,1.0,1.0,2.0,0.0,2.0
